,frequency,frequency_short,id,last_updated,notes,observation_end,observation_start,popularity,realtime_end,realtime_start,seasonal_adjustment,seasonal_adjustment_short,title,units,units_short,name
0,"Daily, Close",D,BAMLCC0A0CMTRIV,2018-05-22 08:31:04-05,"This data represents the ICE BofAML US Corporate Master Index value, which tracks the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have an investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $250 million. Original issue zero coupon bonds, ""global"" securities (debt issued simultaneously in the eurobond and US
domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index

ICE BofAML Explains the Construction Methodology of this series as:
Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.

When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.""",2018-05-21,1972-12-31,64,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,ICE BofAML US Corp Master Total Return Index Value,Index,Index,BAMLCC0A0CMTRIV
1,"Daily, Close",D,BAMLHYH0A0HYM2TRIV,2018-05-22 08:31:01-05,"This data represents the ICE BofAML US High Yield Master II Index value, which tracks the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $100 million. Original issue zero coupon bonds, ""global"" securities (debt issued simultaneously in the eurobond and US domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index

ICE BofAML Explains the Construction Methodology of this series as:
Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.

When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.""",2018-05-21,1986-08-31,79,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,ICE BofAML US High Yield Total Return Index Value,Index,Index,BAMLHYH0A0HYM2TRIV
2,Daily,D,RU2000PR,2018-05-21 19:41:04-05,"The Russell 2000® Index measures the performance of the small-cap segment of the U.S. equity universe. The Russell 2000® Index is a subset of the Russell 3000® Index representing approximately 10% of the total market capitalization of that index. It includes approximately 2000 of the smallest securities based on a combination of their market cap and current index membership. The Russell 2000® is constructed to provide a comprehensive and unbiased small-cap barometer and is completely reconstituted annually to ensure larger stocks do not distort the performance and characteristics of the true small-cap opportunity set.

The index values provided here are the official daily index values as provided directly by Russell Indexes. These values will not match the values seen on popular sources such as CNBC and the Wall Street Journal. Those sources provide real-time information and are disseminated by the New York Stock Exchange (NYSE) as part of its real-time information service. The fluctuations in performance from day to day will be the same between the two sources, but the values are different due to different base dates and different base values. For example, the Russell 2000 closed at a value of 2898.43 on January 21st 2015 and at a value of 2908.37 on January 20th 2015. The Russell 2000 was down -0.34% from January 20th to January 21st 2015. These are official daily index values as provided by Russell. In the real-time information from NYSE, the Russell 2000 closed at a value of 1166.25 on January 21st and at a value of 1170.25 on January 20th 2015. The Russell 2000 was down -0.34% from January 20th to January 21st 2015. The fluctuations in performance are the same from day to day from each source, however the official daily index values and the real-time index values are different. Please contact Russell Indexes at index@russell.com for further information.

For more information, go to the source at: https://russellinvestments.com/us/. Copyright 2017, FTSE Russell.",2018-05-21,1978-12-29,62,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,Russell 2000® Price Index,Index,Index,RU2000PR
3,Daily,D,DCOILWTICO,2018-05-16 14:01:02-05,"Definitions, Sources and Explanatory Notes:
http://www.eia.doe.gov/dnav/pet/TblDefs/pet_pri_spt_tbldef2.asp",2018-05-14,1986-01-02,89,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,"Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma",Dollars per Barrel,$ per Barrel,DCOILWTICO
4,Daily,D,GOLDPMGBD228NLBM,2018-05-21 18:01:02-05,"The London Bullion Market Association (LBMA) Gold Price was launched on the 20th March 2015 to replace the historic London Gold Fix. ICE Benchmark Administration (IBA) provides the auction platform, methodology as well as overall independent administration and governance for the LBMA Gold Price, with the LBMA holding the intellectual property rights. The price continues to be set twice daily (at 10:30 and 15:00 London GMT) in US dollars. Sterling and Euro prices are available but they are indicative prices for settlement only. For further information contact the LBMA at Au.Consult@lbma.org.uk or the IBA at iba@theice.com.
Copyright, 2016, ICE Benchmark Administration.",2018-05-21,1968-04-01,76,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,"Gold Fixing Price 3:00 P.M. (London time) in London Bullion Market, based in U.S. Dollars",U.S. Dollars per Troy Ounce,U.S. $ per Troy Ounce,GOLDPMGBD228NLBM
5,Quarterly,Q,PALLFNFINDEXQ,2017-07-12 11:41:02-05,"Value represents the benchmark prices which are representative of the global market. They are determined by the largest exporter of a given commodity. Prices are period averages in nominal U.S. dollars.

Copyright © 2016, International Monetary Fund. Reprinted with permission. Complete terms of use and contact details are available at http://www.imf.org/external/terms.htm.",2017-04-01,1992-01-01,67,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,Global Price Index of All Commodities,Index 2005 = 100,Index 2005 = 100,PALLFNFINDEXQ
6,Monthly,M,WTISPLC,2018-05-16 14:51:01-05,"This series was created by the Federal Reserve Bank of St. Louis to expand the history of the monthly West Texas Intermediate oil price series in FRED. We simply combined these two FRED series: https://fred.stlouisfed.org/series/OILPRICE and https://fred.stlouisfed.org/series/MCOILWTICO. From January 1946 through July 2013, the series used is OILPRICE. From August 2013 to present, the series used is MCOILWTICO.",2018-04-01,1946-01-01,72,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,Spot Crude Oil Price: West Texas Intermediate (WTI),Dollars per Barrel,$ per Barrel,WTISPLC
7,"Quarterly, End of Period",Q,DRTSCILM,2018-05-09 15:11:01-05,"For further information, please refer to the Board of Governors of the Federal Reserve System's Senior Loan Officer Opinion Survey on Bank Lending Practices release, online at http://www.federalreserve.gov/boarddocs/SnLoanSurvey/.",2018-04-01,1990-04-01,71,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,Net Percentage of Domestic Banks Tightening Standards for Commercial and Industrial Loans to Large and Middle-Market Firms,Percent,%,DRTSCILM
8,"Quarterly, End of Period",Q,DRTSCLCC,2018-05-09 15:11:01-05,"For further information, please refer to the Board of Governors of the Federal Reserve System's Senior Loan Officer Opinion Survey on Bank Lending Practices release, online at http://www.federalreserve.gov/boarddocs/SnLoanSurvey/.",2018-04-01,1996-01-01,54,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,"Net Percentage of Domestic Banks Tightening Standards on Consumer Loans, Credit Cards",Percent,%,DRTSCLCC
9,Quarterly,Q,STDSAUTO,2018-05-09 15:11:01-05,"For further information, please refer to the Board of Governors of the Federal Reserve System's Senior Loan Officer Opinion Survey on Bank Lending Practices release, online at http://www.federalreserve.gov/boarddocs/SnLoanSurvey/.",2018-04-01,2011-04-01,50,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,Net Percentage of Domestic Banks Tightening Standards for Auto Loans,Percent,%,STDSAUTO
