,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,311,2,GORMAN JAMES P,1341712,2018-01-18 00:00:00,2018-07-03 01:35:10
1,311,2,KELLEHER THOMAS COLM,700947,2018-01-18 00:00:00,2018-07-03 01:35:10
2,311,2,ROSENTHAL JAMES A,172910,2016-11-17 00:00:00,2018-07-03 01:35:10
3,311,2,SIMKOWITZ DANIEL A,240297,2018-01-18 00:00:00,2018-07-03 01:35:10
4,311,2,HOTSUKI KEISHI,206903,2018-01-18 00:00:00,2018-07-03 01:35:10
5,311,2,GROSSMAN ERIC F,206095,2018-01-18 00:00:00,2018-07-03 01:35:10
6,311,2,WIRTH PAUL C,205285,2018-01-18 00:00:00,2018-07-03 01:35:10
7,311,2,PRUZAN JONATHAN,176255,2018-01-18 00:00:00,2018-07-03 01:35:10
8,311,2,BOWLES ERSKINE B,159236,2018-01-31 00:00:00,2018-07-03 01:35:10
9,311,2,OLAYAN HUTHAM S,156286,2017-11-21 00:00:00,2018-07-03 01:35:10
