,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,124,2,BARRETT GEORGE S,518385,2017-08-14 00:00:00,2018-07-03 00:24:58
1,124,2,KAUFMANN MICHAEL C,211849,2018-01-21 00:00:00,2018-07-03 00:24:58
2,124,2,CASEY DONALD M JR.,146503,2017-09-14 00:00:00,2018-07-03 00:24:58
3,124,2,MORFORD CRAIG S,109873,2017-11-14 00:00:00,2018-07-03 00:24:58
4,124,2,MORRISON PATRICIA,64689,2017-08-14 00:00:00,2018-07-03 00:24:58
5,124,2,GIACOMIN JON L,48359,2017-09-14 00:00:00,2018-07-03 00:24:58
6,124,2,DOWNEY BRUCE,37985,2017-11-07 00:00:00,2018-07-03 00:24:58
7,124,2,WATKINS CAROLE S,31585,2016-05-19 00:00:00,2018-07-03 00:24:58
8,124,2,DARDEN CALVIN,29689,2017-11-07 00:00:00,2018-07-03 00:24:58
9,124,2,KENNY GREGORY B,29648,2017-11-07 00:00:00,2018-07-03 00:24:58
