,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,431,2,BOGER JOSHUA S,284088,2017-06-07 00:00:00,2018-07-03 02:20:10
1,431,2,LEIDEN JEFFREY M,214563,2018-02-05 00:00:00,2018-07-03 02:20:10
2,431,2,ALTSHULER DAVID,76402,2018-02-05 00:00:00,2018-07-03 02:20:10
3,431,2,CHODAKEWITZ JEFFREY,74785,2018-02-05 00:00:00,2018-07-03 02:20:10
4,431,2,SMITH IAN F,64495,2018-02-05 00:00:00,2018-07-03 02:20:10
5,431,2,SACHDEV AMIT,64458,2018-02-05 00:00:00,2018-07-03 02:20:10
6,431,2,ARBUCKLE STUART A,62525,2018-02-05 00:00:00,2018-07-03 02:20:10
7,431,2,PARINI MICHAEL,52134,2018-02-05 00:00:00,2018-07-03 02:20:10
8,431,2,SILVA PAUL M,27175,2018-02-05 00:00:00,2018-07-03 02:20:10
9,431,2,SACHS BRUCE I,23398,2017-05-31 00:00:00,2018-07-03 02:20:10
