,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,441,2,TILLERSON REX W,2618856,2016-11-30 00:00:00,2018-07-03 02:23:55
1,441,2,DOLAN MICHAEL JAMES,1056903,2018-02-05 00:00:00,2018-07-03 02:23:55
2,441,2,SWIGER ANDREW P,944298,2017-11-29 00:00:00,2018-07-03 02:23:55
3,441,2,ALBERS MARK W,878722,2017-11-29 00:00:00,2018-07-03 02:23:55
4,441,2,WALTERS THOMAS R,625069,2016-11-30 00:00:00,2018-07-03 02:23:55
5,441,2,DUFFIN NEIL W,511742,2017-11-29 00:00:00,2018-07-03 02:23:55
6,441,2,WOODS DARREN W,509813,2017-11-29 00:00:00,2018-07-03 02:23:55
7,441,2,GREENLEE STEPHEN M,408566,2017-11-29 00:00:00,2018-07-03 02:23:55
8,441,2,WILLIAMS JACK P JR,322137,2017-11-29 00:00:00,2018-07-03 02:23:55
9,441,2,ORTWEIN SARA N,259061,2017-12-17 00:00:00,2018-07-03 02:23:55
