,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,517,2,MARCUS JOEL S,649755,2018-02-01 00:00:00,2018-07-03 02:52:10
1,517,2,ANDREWS THOMAS J,136916,2017-11-20 00:00:00,2018-07-03 02:52:10
2,517,2,RICHARDSON STEPHEN,131972,2017-12-07 00:00:00,2018-07-03 02:52:10
3,517,2,SHIGENAGA DEAN A,125064,2018-02-01 00:00:00,2018-07-03 02:52:10
4,517,2,RYAN DANIEL J,115700,2017-12-18 00:00:00,2018-07-03 02:52:10
5,517,2,MOGLIA PETER M,115117,2017-12-03 00:00:00,2018-07-03 02:52:10
6,517,2,RICHARDSON JAMES H,56250,2018-01-11 00:00:00,2018-07-03 02:52:10
7,517,2,ATKINS JOHN L III,18860,2018-01-11 00:00:00,2018-07-03 02:52:10
8,517,2,KLEIN RICHARD HUNTER,10810,2018-01-11 00:00:00,2018-07-03 02:52:10
9,517,2,HASH STEVE,9459,2018-01-11 00:00:00,2018-07-03 02:52:10
