,instrument_id,data_vendor_id,name,shares,date_reported,refreshed_at
0,411,2,BEWKES JEFFREY L,855925,2017-12-06 00:00:00,2018-07-03 02:12:29
1,411,2,CAPPUCCIO PAUL T,115932,2017-02-14 00:00:00,2018-07-03 02:12:29
2,411,2,MELTON CAROL A,74595,2017-06-14 00:00:00,2018-07-03 02:12:29
3,411,2,BARKSDALE JAMES L,73085,2017-05-31 00:00:00,2018-07-03 02:12:29
4,411,2,AVERILL HOWARD M,63399,2017-06-14 00:00:00,2018-07-03 02:12:29
5,411,2,OLAFSSON OLAF,56852,2017-12-13 00:00:00,2018-07-03 02:12:29
6,411,2,HASSAN FRED,46972,2017-05-31 00:00:00,2018-07-03 02:12:29
7,411,2,BARR WILLIAM P,40940,2018-02-04 00:00:00,2018-07-03 02:12:29
8,411,2,CLARK ROBERT C,30395,2017-05-31 00:00:00,2018-07-03 02:12:29
9,411,2,GINSBERG GARY L,29286,2017-04-14 00:00:00,2018-07-03 02:12:29
