,Company,Price,Allocation,Dollar Value,Shares
ADSK,AUTODESK INC,136.190002,0.04999999997397395,11549,84
AKAM,AKAMAI TECHNOLOGIES INC,73.25,0.049999999847812795,11549,157
BLUE,BLUEBIRD BIO INC,220.199997,0.03110558532822514,7185,32
CERS,CERUS CORP,5.42,0.049999999956373824,11549,2130
CGEN,COMPUGEN LTD,4.35,0.04999999999291989,11549,2655
CRM,SALESFORCE.COM INC,127.989998,0.0499999999799235,11549,90
CRSP,CRISPR THERAPEUTICS AG,58.169998,0.04999999994694912,11549,198
FMI,FOUNDATION MEDICINE INC,79.0,0.0499999999944754,11549,146
FPRX,FIVE PRIME THERAPEUTICS INC,18.440001,0.022219856821396503,5132,278
HDP,HORTONWORKS INC,20.549999,0.04999999976239513,11549,562
HUBS,HUBSPOT INC,118.199997,0.049999999984966556,11549,97
MLNX,MELLANOX TECHNOLOGIES LTD,73.300003,0.04999999997934371,11549,157
NFLX,NETFLIX INC,321.549988,0.04999999976978359,11549,35
NOW,SERVICENOW INC,175.339996,0.04999999997185419,11549,65
NVTA,INVITAE CORP,7.4,0.04999999999574015,11549,1560
PI,IMPINJ INC,13.63,0.014401767044296292,3326,244
SQ,SQUARE INC - A,54.610001,0.04999999998769612,11549,211
TDOC,TELADOC INC,42.950001,0.03227279044158895,7455,173
TWLO,TWILIO INC - A,40.790001,0.04999999999185747,11549,283
TWOU,2U INC,87.720001,0.04999999999490414,11549,131
XLNX,XILINX INC,76.010002,0.04999999991135186,11549,151
XONE,EXONE CO/THE,9.05,0.04999999979292836,11549,1276
