Date,SPY
2017-12-11,263.898743
2017-12-12,264.364502
2017-12-13,264.334778
2017-12-14,263.254639
2017-12-15,265.446869
2017-12-18,267.130127
2017-12-19,266.104248
2017-12-20,265.964783
2017-12-21,266.512573
2017-12-22,266.44287099999997
2017-12-26,266.124146
2017-12-27,266.253632
2017-12-28,266.801422
2017-12-29,265.79544100000004
2018-01-02,267.69784500000003
2018-01-03,269.391083
2018-01-04,270.52652
2018-01-05,272.329315
2018-01-08,272.82733199999996
2018-01-09,273.44485499999996
2018-01-10,273.026489
2018-01-11,275.018524
2018-01-12,276.811371
2018-01-16,275.865143
2018-01-17,278.494598
2018-01-18,278.026489
2018-01-19,279.29141200000004
2018-01-22,281.562317
2018-01-23,282.159943
2018-01-24,282.050354
2018-01-25,282.16986099999997
2018-01-26,285.436798
2018-01-29,283.544373
2018-01-30,280.636047
2018-01-31,280.77545200000003
2018-02-01,280.456726
2018-02-02,274.351227
2018-02-05,262.877136
2018-02-06,268.056427
2018-02-07,266.602264
2018-02-08,256.602295
2018-02-09,260.456848
2018-02-12,264.281525
2018-02-13,264.938904
2018-02-14,268.514587
2018-02-15,271.940857
2018-02-16,272.020508
2018-02-20,270.317352
2018-02-21,268.972717
2018-02-22,269.32135
2018-02-23,273.614136
2018-02-26,276.79141200000004
2018-02-27,273.335266
2018-02-28,270.566345
2018-03-01,266.632141
2018-03-02,268.006592
2018-03-05,271.104218
2018-03-06,271.791473
2018-03-07,271.691864
2018-03-08,273.006592
2018-03-09,277.757568
2018-03-12,277.408936
2018-03-13,275.61615
2018-03-14,274.201782
2018-03-15,273.902985
2018-03-16,274.200012
2018-03-19,270.48999
2018-03-20,270.950012
2018-03-21,270.399994
