id,instrument_type_id,industry_id,sector_id,database,type_database,name,description
1,1,1,1,WIKI,datatables,PRICES,"End of day stock prices, dividends and splits for 3,000 US companies, curated by the Quandl community and released into the public domain."
2,2,1,1,FRED,datasets,GDPPOT,Real Potential Gross Domestic Product
3,3,1,1,ML,datasets,EMCBI,Emerging Markets Corporate Bond Index OAS
4,3,1,1,ML,datasets,EMCTRI,Emerging Markets Corporate Bond Total Return Index
5,3,1,1,ML,datasets,EMHGY,Emerging Markets High Grade Corporate Bond Index Yield
6,3,1,1,ML,datasets,EMHYY,Emerging Markets High Yield Corporate Bond Index Yield
7,3,1,1,ML,datasets,EEMCBI,Euro Emerging Markets Corporate Bond Index (Yield)
8,3,1,1,ML,datasets,EMHG,Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index
9,3,1,1,ML,datasets,IGEM,IG Emerging Markets Corporate Bond Total Return Index
10,3,1,1,ML,datasets,USEY,US Corporate Bond Index Yield
11,3,1,1,ML,datasets,TRI,US Corporate Bonds Total Return Index
12,3,1,1,ML,datasets,USTRI,US High Yield Corporate Bond Index (Yield)
13,3,1,1,ML,datasets,HYOAS,US High Yield Corporate Bond Index OAS
14,4,1,1,USTREASURY,datasets,YIELD,Treasury Yield Curve Rates
15,4,1,1,USTREASURY,datasets,BILLRATES,Treasury Bill Rates
16,4,1,1,USTREASURY,datasets,REALYIELD,Treasury Real Yield Curve Rates
17,4,1,1,USTREASURY,datasets,REALLONGTERM,Treasury Real Long-Term Rates
18,4,1,1,USTREASURY,datasets,MKTDM,Marketable Debt Maturing in Next 12 to 36 Months
19,4,1,1,USTREASURY,datasets,TMBOR,Treasury Net Marketable Borrowing
20,4,1,1,USTREASURY,datasets,BRDNM,Breakdown of Marketable Issuance
21,4,1,1,USTREASURY,datasets,TNMBOR,Treasury Net Nonmarketable Borrowing
22,4,1,1,USTREASURY,datasets,AVMAT,Average Maturity of Total Outstanding Treasury Marketable Securities
23,4,1,1,USTREASURY,datasets,LONGTERMRATES,Treasury Long Term Rates
24,4,1,1,USTREASURY,datasets,HQMYC,High Quality Market Corporate Bond Yield Curve Spot Rates
25,4,1,1,USTREASURY,datasets,MATDIS,Maturity Distribution and Average Length of Marketable Interest-Bearing Public Debt
