Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
T,AT&T INC,,22.884620388,247390835.85072,6871967.66252,36.0,USD
ATNI,ATN INTERNATIONAL INC,,2.10928092,22802072.3552256,374049.74336,60.96,USD
CTL,CENTURYLINK INC,,5.564053627,60149386.547442,3456861.29583,17.4,USD
CBB,CINCINNATI BELL INC,,1.573085946,17005615.152757,1056249.38837,16.1,USD
CCOI,COGENT COMMUNICATIONS HOLDIN,,2.228783532,24093937.834878,562285.59708,42.85,USD
CNSL,CONSOLIDATED COMMUNICATIONS,,1.739300458,18802452.7775755,1560369.52511,12.05,USD
FTR,FRONTIER COMMUNICATIONS CORP,,1.822099645,19697541.2648448,2751053.24928,7.16,USD
GNCMA,GCI LIBERTY INC,,2.210231222,23893380.8040312,621737.72584,38.43,USD
GSAT,GLOBALSTAR INC,,1.222461984,13215246.1747546,13432858.56409,0.983799994,USD
IDT,IDT CORP-CLASS B,,1.466580079,15854249.0840057,1375043.28569,11.53,USD
IRDM,IRIDIUM COMMUNICATIONS INC,,2.572756307,27812405.119632,2347038.40672,11.85,USD
ORBC,ORBCOMM INC,,2.036779694,22018308.4795499,2295965.43061,9.59,USD
PDVW,PDVWIRELESS INC,,2.234912675,24160196.037336,752654.08216,32.1,USD
SHEN,SHENANDOAH TELECOMMUNICATION,,2.328813268,25175294.64618,765206.5242,32.9,USD
SPOK,SPOK HOLDINGS INC,,1.589597385,17184109.642773,1084170.95538,15.85,USD
S,SPRINT CORP,,2.396467653,25906662.46161,4934602.37364,5.25,USD
TMUS,T-MOBILE US INC,,4.440945098,48008186.341019,775576.51601,61.9,USD
TDS,TELEPHONE AND DATA SYSTEMS,,2.479635466,26805735.9133256,940882.27144,28.49,USD
USM,US CELLULAR CORP,,2.04798594,22139451.9522,559077.0695,39.6,USD
VZ,VERIZON COMMUNICATIONS INC,,22.575524818,244049403.485633,5088603.07518,47.96,USD
VG,VONAGE HOLDINGS CORP,,2.935584575,31734706.9617312,3105157.23696,10.22,USD
WIN,WINDSTREAM HOLDINGS INC,,1.220659167,13195757.093936,8247348.18371,1.6,USD
ZAYO,ZAYO GROUP HOLDINGS INC,,3.224427297,34857198.889282,986059.37452,35.35,USD
