Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
MMM,3M CO,,4.626496413,171467752.508196,741193.70843,231.34,USD
AAON,AAON INC,,0.050037637,1854500.7878305,52313.13929,35.45,USD
AIR,AAR CORP,,0.045560991,1688586.7970792,40777.27112,41.41,USD
ABM,ABM INDUSTRIES INC,,0.063457123,2351855.3381304,69151.87704,34.01,USD
ACCO,ACCO BRANDS CORP,,0.04536732,1681408.933164,135597.49461,12.4,USD
ATU,ACTUANT CORP-A,,0.044127362,1635453.471393,74170.22546,22.05,USD
AYI,ACUITY BRANDS INC,,0.207265062,7681682.036889,52331.0991,146.79,USD
ADSW,ADVANCED DISPOSAL SERVICES I,,0.038467367,1425682.102579,65942.74295,21.62,USD
WMS,ADVANCED DRAINAGE SYSTEMS IN,,0.033377621,1237045.33464,48040.59552,25.75,USD
ACM,AECOM,,0.184004905,6819611.3724458,194901.72542,34.99,USD
AEGN,AEGION CORP,,0.024501709,908085.2229702,41071.24482,22.11,USD
AJRD,AEROJET ROCKETDYNE HOLDINGS,,0.05699214,2112249.410628,79407.87258,26.6,USD
AVAV,AEROVIRONMENT INC,,0.035063696,1299534.831989,26684.49347,48.7,USD
AGCO,AGCO CORP,,0.140487705,5206771.8233888,78878.53088,66.01,USD
AL,AIR LEASE CORP,,0.143038079,5301294.0556254,121561.43214,43.61,USD
ATSG,AIR TRANSPORT SERVICES GROUP,,0.047412016,1757189.7280775,69868.37885,25.15,USD
AYR,AIRCASTLE LTD,,0.036736249,1361523.2033128,68833.32676,19.78,USD
ALG,ALAMO GROUP INC,,0.035770583,1325733.5603236,12222.12188,108.47,USD
ALK,ALASKA AIR GROUP INC,,0.267759982,9923751.857886,153499.64204,64.65,USD
AIN,ALBANY INTL CORP-CL A,,0.06035142,2236751.4305675,35989.56445,62.15,USD
ALGT,ALLEGIANT TRAVEL CO,,0.070617585,2617237.238637,15988.01001,163.7,USD
ALLE,ALLEGION PLC,,0.261404206,9688193.3335999,118047.92657,82.07,USD
ALSN,ALLISON TRANSMISSION HOLDING,,0.170997819,6337541.2236696,166078.12431,38.16,USD
AIMC,ALTRA INDUSTRIAL MOTION CORP,,0.042658242,1581004.7691375,36470.69825,43.35,USD
UHAL,AMERCO,,0.077361506,2867181.2085675,8536.58025,335.87,USD
AAL,AMERICAN AIRLINES GROUP INC,,0.785542905,29113883.2554276,544388.24337,53.48,USD
ARII,AMERICAN RAILCAR INDUSTRIES,,0.009546043,353796.5691936,9449.69469,37.44,USD
AMWD,AMERICAN WOODMARK CORP,,0.061025856,2261747.4651955,18072.29297,125.15,USD
AME,AMETEK INC,,0.573411324,21251837.750675,286490.12875,74.18,USD
APOG,APOGEE ENTERPRISES INC,,0.041619024,1542489.1482572,35846.83124,43.03,USD
AIT,APPLIED INDUSTRIAL TECH INC,,0.089967008,3334367.82936,48324.17144,69.0,USD
ARCB,ARCBEST CORP,,0.027212497,1008552.766338,30423.91452,33.15,USD
ARNC,ARCONIC INC,,0.319467012,11840123.8903666,492927.72233,24.02,USD
AGX,ARGAN INC,,0.019890845,737196.8476275,18406.91255,40.05,USD
AFI,ARMSTRONG FLOORING INC,,0.009606736,356046.006885,25251.48985,14.1,USD
AWI,ARMSTRONG WORLD INDUSTRIES,,0.080363526,2978442.436548,49311.96087,60.4,USD
ASTE,ASTEC INDUSTRIES INC,,0.037912685,1405124.380278,24318.5251,57.78,USD
ATRO,ASTRONICS CORP,,0.02370048,878390.003862,22436.52628,39.15,USD
ATROB,ASTRONICS CORP-CL B,,0.004984187,184724.5263488,4741.38928,38.96,USD
ATKR,ATKORE INTERNATIONAL GROUP I,,0.022770968,843940.3134539,39827.29181,21.19,USD
AAWW,ATLAS AIR WORLDWIDE HOLDINGS,,0.050945443,1888145.982865,31442.8973,60.05,USD
CAR,AVIS BUDGET GROUP INC,,0.110296218,4087811.374168,92234.01115,44.32,USD
AAXN,AXON ENTERPRISE INC,,0.066699427,2472022.0116314,65588.27306,37.69,USD
AZZ,AZZ INC,,0.035346193,1310004.7855315,32305.91333,40.55,USD
BW,BABCOCK & WILCOX ENTERPR,,0.009935221,368220.3462945,60463.11105,6.09,USD
B,BARNES GROUP INC,,0.101172355,3749661.6922208,63424.58884,59.12,USD
BECN,BEACON ROOFING SUPPLY INC,,0.116378414,4313230.4432841,82739.88957,52.13,USD
BLBD,BLUE BIRD CORP,,0.005805215,215153.582925,9078.21025,23.7,USD
BMCH,BMC STOCK HOLDINGS INC,,0.038461924,1425480.3477825,75223.23735,18.95,USD
BA,BOEING CO/THE,,6.580414671,243884100.062319,697429.43768,349.69,USD
BRC,BRADY CORPORATION - CL A,,0.059575608,2207998.2033695,59434.67573,37.15,USD
