Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
CMPR,CIMPRESS NV,,0.056436842,10483133.6795288,64798.69996,161.78,USD
CSGP,COSTAR GROUP INC,,0.183892215,34157946.78335,99152.2403,344.5,USD
HRS,HARRIS CORP,,0.000354671,65880.1000222,430.95506,152.87,USD
TWOU,2U INC,,0.065328955,12134841.994968,143200.8732,84.74,USD
DDD,3D SYSTEMS CORP,,0.017214197,3197534.2328514,297721.99561,10.74,USD
EGHT,8X8 INC,,0.025134211,4668675.452394,255118.87718,18.3,USD
ATEN,A10 NETWORKS INC,,0.00466431,866394.8167792,138401.72792,6.26,USD
ACIA,ACACIA COMMUNICATIONS INC,,0.01008229,1872783.6054768,48168.30261,38.88,USD
ACN,ACCENTURE PLC-CL A,,1.441908889,267834323.225129,1715237.42059,156.15,USD
ACIW,ACI WORLDWIDE INC,,0.04111385,7636890.5328456,329744.84166,23.16,USD
ATVI,ACTIVISION BLIZZARD INC,,0.771692969,143341833.650269,1990582.33093,72.01,USD
ACXM,ACXIOM CORP,,0.032831307,6098409.61675,221760.3497,27.5,USD
ADBE,ADOBE SYSTEMS INC,,1.518999114,282153819.01081,1369479.29433,206.03,USD
ADTN,ADTRAN INC,,0.011066756,2055648.1672,132622.4624,15.5,USD
AEIS,ADVANCED ENERGY INDUSTRIES,,0.039446339,7327150.643754,110815.95045,66.12,USD
AMD,ADVANCED MICRO DEVICES,,0.142873544,26538735.870017,2230145.87143,11.9,USD
AKAM,AKAMAI TECHNOLOGIES INC,,0.17372299,32269014.9480792,475103.28251,67.92,USD
ALRM,ALARM.COM HOLDINGS INC,,0.00893124,1658976.28464,45080.8773,36.8,USD
ADS,ALLIANCE DATA SYSTEMS CORP,,0.17577146,32649518.038158,138727.50388,235.35,USD
AOSL,ALPHA & OMEGA SEMICONDUCTOR,,0.004238987,787391.2424847,51362.76859,15.33,USD
GOOGL,ALPHABET INC-CL A,,4.771038561,886219575.672995,827152.60794,1071.41,USD
GOOG,ALPHABET INC-CL C,,5.000962969,928927994.038458,868546.63217,1069.52,USD
AMBA,AMBARELLA INC,,0.02296295,4265363.976679,93395.3137,45.67,USD
AMKR,AMKOR TECHNOLOGY INC,,0.016414316,3048956.3809392,296591.08764,10.28,USD
APH,AMPHENOL CORP-CL A,,0.406021252,75418376.3379225,847873.82055,88.95,USD
ADI,ANALOG DEVICES INC,,0.485223127,90130110.8750455,1020610.47305,88.31,USD
ANGI,ANGI HOMESERVICES INC- A,,1.7172e-05,3189.811966,214.08134,14.9,USD
AXE,ANIXTER INTERNATIONAL INC,,0.033432586,6210097.064668,82911.84332,74.9,USD
ANSS,ANSYS INC,,0.200834192,37304915.9709228,235006.40022,158.74,USD
APPF,APPFOLIO INC - A,,0.00551929,1025207.171667,25694.41533,39.9,USD
AAPL,APPLE INC,,13.505048589,2508560405.74475,14334630.88997,175.0,USD
AMAT,APPLIED MATERIALS INC,,0.909453242,168930780.143775,2960062.7325,57.07,USD
AAOI,APPLIED OPTOELECTRONICS INC,,0.007635932,1418373.1465358,50983.93769,27.82,USD
APTI,APPTIO INC - CLASS A,,0.009264057,1720796.982852,60336.5001,28.52,USD
ANET,ARISTA NETWORKS INC,,0.185918096,34534253.853034,130910.74243,263.8,USD
ARRS,ARRIS INTERNATIONAL PLC,,0.06811934,12653155.4844487,494070.88967,25.61,USD
ARW,ARROW ELECTRONICS INC,,0.104406535,19393495.6927952,244435.28728,79.34,USD
AZPN,ASPEN TECHNOLOGY INC,,0.08450337,15696486.282324,203322.36117,77.2,USD
ADSK,AUTODESK INC,,0.340144446,63181771.2779316,550651.65834,114.74,USD
ADP,AUTOMATIC DATA PROCESSING,,0.755600161,140352597.50373,1233435.25357,113.79,USD
AVID,AVID TECHNOLOGY INC,,4.86e-06,902.8647965,186.15769,4.85,USD
AVT,AVNET INC,,0.07815197,14516714.7809048,342052.65742,42.44,USD
AVX,AVX CORP,,0.013040298,2422233.215754,141733.9506,17.09,USD
ACLS,AXCELIS TECHNOLOGIES INC,,0.011211109,2082461.576448,85346.78592,24.4,USD
BMI,BADGER METER INC,,0.020530253,3813490.940176,80794.29958,47.2,USD
BDC,BELDEN INC,,0.045113772,8379875.254328,117283.06864,71.45,USD
BHE,BENCHMARK ELECTRONICS INC,,0.021842236,4057191.602591,136836.14174,29.65,USD
