Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
SRCE,1ST SOURCE CORP,,0.022041042,1707332.188109,34215.07391,49.9,USD
ANCX,ACCESS NATIONAL CORP,,0.009593225,743105.6407559,26759.29567,27.77,USD
AMG,AFFILIATED MANAGERS GROUP,,0.251650157,19493198.315973,105158.3229,185.37,USD
AFL,AFLAC INC,,0.840299644,65090869.7569578,742537.87083,87.66,USD
MITT,AG MORTGAGE INVESTMENT TRUST,,0.011277801,873595.408543,52785.22106,16.55,USD
AGNC,AGNC INVESTMENT CORP,,0.168995473,13090642.6325752,728066.88724,17.98,USD
Y,ALLEGHANY CORP,,0.222116336,17205464.2807216,28972.25656,593.86,USD
ALL,ALLSTATE CORP,,0.80687028,62501381.0853958,678920.06393,92.06,USD
ALLY,ALLY FINANCIAL INC,,0.299019432,23162493.323484,845346.47166,27.4,USD
AMBC,AMBAC FINANCIAL GROUP INC,,0.01674687,1297237.6936516,85513.36148,15.17,USD
AEL,AMERICAN EQUITY INVT LIFE HL,,0.061631985,4774105.9494912,158713.62864,30.08,USD
AXP,AMERICAN EXPRESS CO,,1.733720379,134296578.694185,1411567.99132,95.14,USD
AFG,AMERICAN FINANCIAL GROUP INC,,0.201277305,15591241.704112,140562.9436,110.92,USD
AIG,AMERICAN INTERNATIONAL GROUP,,1.237256261,95839724.1745287,1697179.46121,56.47,USD
ANAT,AMERICAN NATIONAL INSURANCE,,0.0378374,2930941.780908,25398.10902,115.4,USD
AMP,AMERIPRISE FINANCIAL INC,,0.558900713,43293286.8189198,281747.27853,153.66,USD
ABCB,AMERIS BANCORP,,0.04802329,3719956.05318,70187.85006,53.0,USD
AMSF,AMERISAFE INC,,0.026380534,2043475.7155765,36393.15611,56.15,USD
AFSI,AMTRUST FINANCIAL SERVICES,,0.031070252,2406748.2899737,184142.94491,13.07,USD
NLY,ANNALY CAPITAL MANAGEMENT IN,,0.28197317,21842064.3321216,2166871.46152,10.08,USD
ANH,ANWORTH MORTGAGE ASSET CORP,,0.010773296,834515.6572731,182607.36483,4.57,USD
AON,AON PLC,,0.873805589,67686290.429721,492443.00058,137.45,USD
ARI,APOLLO COMMERCIAL REAL ESTAT,,0.046725288,3619410.8955925,198323.88469,18.25,USD
ABR,ARBOR REALTY TRUST INC,,0.010319293,799347.908739,92410.16286,8.65,USD
ACGL,ARCH CAPITAL GROUP LTD,,0.273584582,21192271.7533875,245707.49859,86.25,USD
ACRE,ARES COMMERCIAL REAL ESTATE,,0.008041097,622875.4571637,50681.48553,12.29,USD
AGII,ARGO GROUP INTERNATIONAL,,0.042588473,3298966.9531145,56732.01983,58.15,USD
AI,ARLINGTON ASSET INVESTMENT-A,,0.006760993,523716.6997938,48224.37383,10.86,USD
ARR,ARMOUR RESIDENTIAL REIT INC,,0.021639433,1676222.9509532,77674.83554,21.58,USD
AROW,ARROW FINANCIAL CORP,,0.009819564,760638.165287,23440.31326,32.45,USD
AJG,ARTHUR J GALLAGHER & CO,,0.298606847,23130533.8909461,338314.08353,68.37,USD
APAM,ARTISAN PARTNERS ASSET MA -A,,0.03736492,2894342.749236,88512.01068,32.7,USD
AHL,ASPEN INSURANCE HOLDINGS LTD,,0.050982945,3949215.359502,112673.76204,35.05,USD
ASB,ASSOCIATED BANC-CORP,,0.091134138,7059386.918233,285805.13839,24.7,USD
AC,ASSOCIATED CAPITAL GROUP - A,,0.004398614,340723.283045,9652.21765,35.3,USD
AIZ,ASSURANT INC,,0.112114208,8684534.5665001,101348.28529,85.69,USD
AGO,ASSURED GUARANTY LTD,,0.100598663,7792523.2573728,223858.75488,34.81,USD
ATH,ATHENE HOLDING LTD-CLASS A,,0.122369286,9478908.3431354,201979.72178,46.93,USD
ACBI,ATLANTIC CAPITAL BANCSHARES,,0.010851452,840569.743758,48587.84646,17.3,USD
AXS,AXIS CAPITAL HOLDINGS LTD,,0.096643732,7486168.3678724,156418.06034,47.86,USD
RILY,B. RILEY FINANCIAL INC,,0.007063028,547112.772162,29414.66517,18.6,USD
BWINB,BALDWIN & LYONS INC -CL B,,0.005216454,404074.4055075,17761.51233,22.75,USD
BANC,BANC OF CALIFORNIA INC,,0.020558845,1592518.98564,80430.2518,19.8,USD
BANF,BANCFIRST CORP,,0.022716262,1759635.716085,33044.80218,53.25,USD
BXS,BANCORPSOUTH BANK,,0.062912005,4873258.199508,154217.03163,31.6,USD
BAC,BANK OF AMERICA CORP,,7.651294374,592680728.32529,18827215.00398,31.48,USD
BOH,BANK OF HAWAII CORP,,0.085003239,6584478.3328399,80171.41523,82.13,USD
BK,BANK OF NEW YORK MELLON CORP,,1.390910308,107741996.904032,1940947.52124,55.51,USD
OZRK,BANK OF THE OZARKS,,0.148364384,11492527.5360313,228616.02419,50.27,USD
BKU,BANKUNITED INC,,0.104453423,8091118.7036712,200871.86454,40.28,USD
BANR,BANNER CORPORATION,,0.042292045,3276005.257968,59347.92134,55.2,USD
