"Holdings and weightings as of 5:38 PM ET 03/22/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"JNJ","Johnson & Johnson","11.06%","126.40","-0.98","-0.77%","4.01 M","120.95 - 148.32",
"PFE","Pfizer Inc","6.86%","34.97","-0.63","-1.78%","13.50 M","31.67 - 39.43",
"UNH","Unitedhealth Group Inc","6.74%","214.84","-0.37","-0.17%","3.04 M","162.74 - 250.79",
"ABBV","AbbVie Inc.","5.06%","98.71","+0.61","+0.62%","10.50 M","63.12 - 125.86",
"MRK","Merck & Co Inc","4.72%","54.26","+0.14","+0.25%","6.35 M","53.12 - 66.41",
"AMGN","Amgen Inc","3.81%","172.48","-3.60","-2.04%","2.28 M","152.16 - 201.23",
"ABT","Abbott Laboratories","3.43%","60.20","-0.73","-1.20%","3.26 M","42.31 - 64.60",
"MDT","Medtronic plc","3.43%","77.79","-0.35","-0.45%","3.66 M","76.52 - 89.72",
"BMY","Bristol-Myers Squibb","3.38%","62.75","-1.20","-1.88%","5.15 M","51.56 - 70.05",
"GILD","Gilead Sciences Inc","3.20%","74.09","-1.48","-1.96%","4.41 M","63.76 - 89.54",
"TMO","Thermo Fisher Scientific","2.70%","206.79","-0.54","-0.26%","716.91 K","151.74 - 226.44",
"LLY","Lilly Eli & Co","2.39%","75.84","-0.69","-0.90%","1.43 M","73.69 - 89.09",
"CELG","Celgene Corp","2.12%","86.16","-0.75","-0.86%","4.19 M","86.55 - 147.17",
"DHR","Danaher Corp","1.94%","96.89","-0.60","-0.62%","1.22 M","78.97 - 104.82",
"BIIB","Biogen Inc","1.86%","264.12","-7.77","-2.86%","1.81 M","244.28 - 370.57",
"BDX","Becton Dickinson & Co","1.84%","213.50","+0.25","+0.12%","967.54 K","175.66 - 248.39",
"ANTM","Anthem Inc","1.81%","217.41","-1.44","-0.66%","734.22 K","158.67 - 267.95",
"AET","Aetna Inc","1.79%","168.91","-0.54","-0.32%","796.45 K","124.84 - 194.40",
"AGN","Allergan plc","1.74%","162.49","-0.10","-0.06%","1.27 M","142.81 - 256.80",
"SYK","Stryker Corp","1.68%","159.57","-1.24","-0.77%","525.17 K","129.82 - 170.00",
"ISRG","Intuitive Surgical Inc","1.50%","404.58","-9.32","-2.25%","598.18 K","248.18 - 452.00",
"VRTX","Vertex Pharmaceuticals Inc","1.37%","163.14","-2.96","-1.78%","664.50 K","88.90 - 178.25",
"CI","Cigna Corporation","1.30%","165.27","-0.07","-0.04%","1.86 M","143.85 - 227.13",
"ESRX","Express Scripts Holding Co.","1.29%","70.12","-0.35","-0.50%","2.90 M","55.80 - 85.07",
"ZTS","Zoetis Inc","1.29%","81.39","-0.67","-0.82%","1.12 M","52.25 - 85.73",
"BSX","Boston Scientific Corp","1.20%","26.67","-0.27","-1.00%","3.72 M","24.12 - 29.93",
"HUM","Humana Inc","1.18%","263.01","-2.71","-1.02%","312.00 K","203.48 - 293.35",
"ILMN","Illumina Inc","1.15%","239.21","-1.91","-0.79%","490.41 K","166.68 - 256.64",
"BAX","Baxter Intl Inc","1.05%","65.10","-0.45","-0.69%","1.11 M","51.39 - 72.58",
"MCK","McKesson Corp","0.95%","139.88","-1.81","-1.28%","901.47 K","133.82 - 178.86",
"EW","Edwards Lifesciences Corp","0.93%","137.12","-0.18","-0.13%","607.23 K","92.44 - 143.22",
"HCA","HCA Healthcare Inc","0.90%","99.60","-0.19","-0.19%","1.14 M","71.18 - 106.84",
