date_,GDP
1988-01-01,5090.62
1988-04-01,5207.71
1988-07-01,5299.49
1988-10-01,5412.71
1989-01-01,5527.35
1989-04-01,5628.43
1989-07-01,5711.56
1989-10-01,5763.44
1990-01-01,5890.83
1990-04-01,5974.67
1990-07-01,6029.5
1990-10-01,6023.33
1991-01-01,6054.87
1991-04-01,6143.61
1991-07-01,6218.42
1991-10-01,6279.3
1992-01-01,6380.8
1992-04-01,6492.3
1992-07-01,6586.55
1992-10-01,6697.55
1993-01-01,6748.18
1993-04-01,6829.59
1993-07-01,6904.22
1993-10-01,7032.84
1994-01-01,7136.26
1994-04-01,7269.85
1994-07-01,7352.25
1994-10-01,7476.66
1995-01-01,7545.3
1995-04-01,7604.92
1995-07-01,7706.53
1995-10-01,7799.49
1996-01-01,7893.15
1996-04-01,8061.54
1996-07-01,8159.04
1996-10-01,8287.08
1997-01-01,8402.06
1997-04-01,8551.94
1997-07-01,8691.76
1997-10-01,8788.32
1998-01-01,8889.73
1998-04-01,8994.74
1998-07-01,9146.52
1998-10-01,9325.65
1999-01-01,9447.1
1999-04-01,9557.0
1999-07-01,9712.28
1999-10-01,9926.1
2000-01-01,10031.0
2000-04-01,10278.3
2000-07-01,10357.4
2000-10-01,10472.3
2001-01-01,10508.1
2001-04-01,10638.4
2001-07-01,10639.5
2001-10-01,10701.3
2002-01-01,10834.4
2002-04-01,10934.8
2002-07-01,11037.1
2002-10-01,11103.8
2003-01-01,11230.1
2003-04-01,11370.7
2003-07-01,11625.1
2003-10-01,11816.8
2004-01-01,11988.4
2004-04-01,12181.4
2004-07-01,12367.7
2004-10-01,12562.2
2005-01-01,12813.7
2005-04-01,12974.1
2005-07-01,13205.4
2005-10-01,13381.6
2006-01-01,13648.9
2006-04-01,13799.8
2006-07-01,13908.5
2006-10-01,14066.4
2007-01-01,14233.2
2007-04-01,14422.3
2007-07-01,14569.7
2007-10-01,14685.3
2008-01-01,14668.4
2008-04-01,14813.0
2008-07-01,14843.0
2008-10-01,14549.9
2009-01-01,14383.9
2009-04-01,14340.4
2009-07-01,14384.1
2009-10-01,14566.5
2010-01-01,14681.1
2010-04-01,14888.6
2010-07-01,15057.7
2010-10-01,15230.2
2011-01-01,15238.4
2011-04-01,15460.9
2011-07-01,15587.1
2011-10-01,15785.3
2012-01-01,15973.9
2012-04-01,16121.9
2012-07-01,16227.9
2012-10-01,16297.3
2013-01-01,16475.4
2013-04-01,16541.4
2013-07-01,16749.3
2013-10-01,16999.9
2014-01-01,17031.3
2014-04-01,17320.9
2014-07-01,17622.3
2014-10-01,17735.9
2015-01-01,17874.7
2015-04-01,18093.2
2015-07-01,18227.7
2015-10-01,18287.2
2016-01-01,18325.2
2016-04-01,18538.0
2016-07-01,18729.1
2016-10-01,18905.5
2017-01-01,19057.7
2017-04-01,19250.0
2017-07-01,19500.6
2017-10-01,19754.1
2018-01-01,19956.8
