date_,USSLIND
1988-01-01,1.35
1988-02-01,1.95
1988-03-01,2.08
1988-04-01,2.22
1988-05-01,1.91
1988-06-01,2.17
1988-07-01,1.99
1988-08-01,1.75
1988-09-01,1.54
1988-10-01,1.96
1988-11-01,2.06
1988-12-01,1.9
1989-01-01,1.87
1989-02-01,1.74
1989-03-01,1.63
1989-04-01,1.48
1989-05-01,1.1
1989-06-01,0.86
1989-07-01,0.74
1989-08-01,1.03
1989-09-01,1.05
1989-10-01,0.97
1989-11-01,1.17
1989-12-01,1.19
1990-01-01,1.62
1990-02-01,1.38
1990-03-01,1.62
1990-04-01,1.27
1990-05-01,1.07
1990-06-01,1.03
1990-07-01,0.61
1990-08-01,0.38
1990-09-01,-0.15
1990-10-01,-0.12
1990-11-01,-0.32
1990-12-01,-0.33
1991-01-01,-0.24
1991-02-01,-0.33
1991-03-01,-0.33
1991-04-01,0.04
1991-05-01,0.44
1991-06-01,0.83
1991-07-01,1.19
1991-08-01,0.88
1991-09-01,0.9
1991-10-01,0.78
1991-11-01,0.67
1991-12-01,0.68
1992-01-01,0.77
1992-02-01,0.95
1992-03-01,1.1
1992-04-01,1.19
1992-05-01,1.31
1992-06-01,1.26
1992-07-01,1.13
1992-08-01,1.23
1992-09-01,1.38
1992-10-01,1.72
1992-11-01,1.73
1992-12-01,2.2
1993-01-01,1.85
1993-02-01,2.15
1993-03-01,1.69
1993-04-01,1.72
1993-05-01,1.52
1993-06-01,1.63
1993-07-01,1.9
1993-08-01,1.95
1993-09-01,2.0
1993-10-01,1.73
1993-11-01,2.05
1993-12-01,2.24
1994-01-01,1.92
1994-02-01,1.93
1994-03-01,1.93
1994-04-01,2.07
1994-05-01,2.04
1994-06-01,2.14
1994-07-01,2.12
1994-08-01,2.34
1994-09-01,2.04
1994-10-01,2.04
1994-11-01,2.11
1994-12-01,2.07
1995-01-01,1.95
1995-02-01,1.61
1995-03-01,1.51
1995-04-01,1.13
1995-05-01,0.97
1995-06-01,1.08
1995-07-01,1.07
1995-08-01,1.54
1995-09-01,1.42
1995-10-01,1.66
1995-11-01,1.39
1995-12-01,1.36
1996-01-01,1.35
1996-02-01,1.35
1996-03-01,1.32
1996-04-01,1.57
1996-05-01,1.71
1996-06-01,2.01
1996-07-01,1.91
1996-08-01,1.92
1996-09-01,1.67
1996-10-01,1.58
1996-11-01,1.43
1996-12-01,1.39
1997-01-01,1.55
1997-02-01,1.76
1997-03-01,1.96
1997-04-01,1.84
1997-05-01,1.95
1997-06-01,1.85
1997-07-01,1.96
1997-08-01,1.52
1997-09-01,1.85
1997-10-01,1.94
1997-11-01,1.97
1997-12-01,2.0
1998-01-01,1.78
1998-02-01,1.77
1998-03-01,1.55
1998-04-01,1.79
1998-05-01,1.89
1998-06-01,1.57
1998-07-01,1.55
1998-08-01,1.59
1998-09-01,1.86
1998-10-01,1.61
1998-11-01,1.65
1998-12-01,1.77
1999-01-01,1.56
1999-02-01,1.77
1999-03-01,1.77
1999-04-01,1.73
1999-05-01,1.6
1999-06-01,1.59
1999-07-01,1.78
1999-08-01,1.66
1999-09-01,1.56
1999-10-01,1.64
1999-11-01,1.89
1999-12-01,1.82
2000-01-01,1.54
2000-02-01,1.4
2000-03-01,1.79
2000-04-01,2.06
2000-05-01,1.78
2000-06-01,1.19
2000-07-01,0.91
2000-08-01,0.94
2000-09-01,0.97
2000-10-01,1.1
2000-11-01,0.88
2000-12-01,0.7
2001-01-01,0.8
2001-02-01,0.52
2001-03-01,0.32
2001-04-01,0.15
2001-05-01,0.37
2001-06-01,0.51
2001-07-01,0.22
2001-08-01,0.33
2001-09-01,-0.15
2001-10-01,-0.4
2001-11-01,-0.48
2001-12-01,-0.09
2002-01-01,0.48
2002-02-01,0.66
2002-03-01,0.46
2002-04-01,0.55
2002-05-01,0.69
2002-06-01,0.96
2002-07-01,1.11
2002-08-01,0.9
2002-09-01,0.94
2002-10-01,0.84
2002-11-01,0.69
2002-12-01,0.6
2003-01-01,0.84
2003-02-01,0.62
2003-03-01,0.44
2003-04-01,0.25
2003-05-01,0.45
2003-06-01,0.52
2003-07-01,0.9
2003-08-01,1.1
2003-09-01,1.45
2003-10-01,1.54
2003-11-01,1.51
2003-12-01,1.75
2004-01-01,1.47
2004-02-01,1.43
2004-03-01,1.56
2004-04-01,1.59
2004-05-01,1.74
2004-06-01,1.46
2004-07-01,1.49
2004-08-01,1.42
2004-09-01,1.34
2004-10-01,1.35
2004-11-01,1.45
2004-12-01,1.32
2005-01-01,1.12
2005-02-01,1.48
2005-03-01,1.35
2005-04-01,1.61
2005-05-01,1.29
2005-06-01,1.63
2005-07-01,1.64
2005-08-01,1.74
2005-09-01,1.22
2005-10-01,1.27
2005-11-01,1.43
2005-12-01,1.64
2006-01-01,1.79
2006-02-01,1.57
2006-03-01,1.52
2006-04-01,1.35
2006-05-01,1.0
2006-06-01,1.07
2006-07-01,0.69
2006-08-01,0.98
2006-09-01,0.88
2006-10-01,1.06
2006-11-01,0.79
2006-12-01,0.95
2007-01-01,1.21
2007-02-01,1.04
2007-03-01,1.29
2007-04-01,1.02
2007-05-01,1.21
2007-06-01,0.72
2007-07-01,0.54
2007-08-01,0.56
2007-09-01,0.45
2007-10-01,0.63
2007-11-01,0.43
2007-12-01,0.24
2008-01-01,0.4
2008-02-01,0.32
2008-03-01,0.2
2008-04-01,0.21
2008-05-01,0.02
2008-06-01,-0.1
2008-07-01,-0.41
2008-08-01,-0.8
2008-09-01,-0.62
2008-10-01,-1.16
2008-11-01,-1.74
2008-12-01,-1.9
2009-01-01,-2.35
2009-02-01,-2.3
2009-03-01,-2.63
2009-04-01,-2.16
2009-05-01,-1.28
2009-06-01,-0.76
2009-07-01,-0.22
2009-08-01,-0.07
2009-09-01,0.29
2009-10-01,0.13
2009-11-01,0.43
2009-12-01,0.59
2010-01-01,0.49
2010-02-01,0.7
2010-03-01,1.01
2010-04-01,1.07
