date_,TOTALSL
1988-01-01,692.271
1988-02-01,696.387
1988-03-01,700.701
1988-04-01,705.868
1988-05-01,710.046
1988-06-01,713.189
1988-07-01,716.113
1988-08-01,721.536
1988-09-01,722.948
1988-10-01,726.105
1988-11-01,729.66
1988-12-01,731.918
1989-01-01,749.023
1989-02-01,752.893
1989-03-01,760.018
1989-04-01,764.713
1989-05-01,769.276
1989-06-01,773.227
1989-07-01,776.26
1989-08-01,778.877
1989-09-01,781.822
1989-10-01,785.546
1989-11-01,790.297
1989-12-01,794.612
1990-01-01,797.715
1990-02-01,798.773
1990-03-01,798.748
1990-04-01,798.747
1990-05-01,799.751
1990-06-01,802.893
1990-07-01,806.888
1990-08-01,808.759
1990-09-01,810.436
1990-10-01,812.655
1990-11-01,813.663
1990-12-01,808.231
1991-01-01,806.601
1991-02-01,807.03
1991-03-01,808.352
1991-04-01,807.819
1991-05-01,807.832
1991-06-01,805.995
1991-07-01,804.028
1991-08-01,802.022
1991-09-01,800.889
1991-10-01,798.617
1991-11-01,798.275
1991-12-01,798.029
1992-01-01,798.983
1992-02-01,799.64
1992-03-01,799.442
1992-04-01,797.658
1992-05-01,797.668
1992-06-01,797.276
1992-07-01,798.068
1992-08-01,799.824
1992-09-01,800.199
1992-10-01,799.556
1992-11-01,802.698
1992-12-01,806.119
1993-01-01,809.325
1993-02-01,814.059
1993-03-01,813.656
1993-04-01,819.757
1993-05-01,819.759
1993-06-01,823.812
1993-07-01,829.519
1993-08-01,834.235
1993-09-01,840.603
1993-10-01,847.617
1993-11-01,856.523
1993-12-01,865.651
1994-01-01,872.022
1994-02-01,880.353
1994-03-01,891.333
1994-04-01,900.99
1994-05-01,912.864
1994-06-01,924.216
1994-07-01,931.135
1994-08-01,944.803
1994-09-01,957.376
1994-10-01,968.469
1994-11-01,981.426
1994-12-01,997.302
1995-01-01,1010.4
1995-02-01,1018.56
1995-03-01,1033.63
1995-04-01,1043.7
1995-05-01,1057.47
1995-06-01,1069.38
1995-07-01,1077.74
1995-08-01,1089.6
1995-09-01,1106.61
1995-10-01,1113.53
1995-11-01,1132.16
1995-12-01,1140.74
1996-01-01,1153.27
1996-02-01,1163.09
1996-03-01,1171.68
1996-04-01,1180.9
1996-05-01,1191.11
1996-06-01,1200.95
1996-07-01,1211.9
1996-08-01,1220.5
1996-09-01,1225.27
1996-10-01,1231.34
1996-11-01,1242.42
1996-12-01,1253.44
1997-01-01,1258.37
1997-02-01,1261.85
1997-03-01,1264.15
1997-04-01,1274.09
1997-05-01,1278.68
1997-06-01,1282.86
1997-07-01,1288.78
1997-08-01,1294.22
1997-09-01,1301.64
1997-10-01,1309.39
1997-11-01,1312.46
1997-12-01,1324.76
1998-01-01,1320.04
1998-02-01,1324.34
1998-03-01,1332.9
1998-04-01,1360.46
1998-05-01,1363.08
1998-06-01,1373.94
1998-07-01,1380.72
1998-08-01,1386.67
1998-09-01,1397.29
1998-10-01,1405.4
1998-11-01,1408.44
1998-12-01,1421.0
1999-01-01,1431.24
1999-02-01,1441.31
1999-03-01,1450.88
1999-04-01,1457.67
1999-05-01,1468.15
1999-06-01,1479.32
1999-07-01,1492.38
1999-08-01,1503.23
1999-09-01,1511.06
1999-10-01,1517.28
1999-11-01,1525.33
1999-12-01,1531.11
2000-01-01,1538.52
2000-02-01,1549.19
2000-03-01,1561.45
2000-04-01,1570.53
2000-05-01,1583.51
2000-06-01,1609.55
2000-07-01,1629.75
2000-08-01,1651.62
2000-09-01,1669.0
2000-10-01,1684.6
2000-11-01,1700.94
2000-12-01,1716.97
