date_,CSUSHPINSA
1988-01-01,68.596
1988-02-01,68.929
1988-03-01,69.336
1988-04-01,69.799
1988-05-01,70.418
1988-06-01,71.077
1988-07-01,71.695
1988-08-01,72.194
1988-09-01,72.583
1988-10-01,72.832
1988-11-01,73.074
1988-12-01,73.287
1989-01-01,73.623
1989-02-01,73.973
1989-03-01,74.415
1989-04-01,74.874
1989-05-01,75.303
1989-06-01,75.703
1989-07-01,76.05
1989-08-01,76.281
1989-09-01,76.428
1989-10-01,76.493
1989-11-01,76.524
1989-12-01,76.499
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.04
1990-05-01,77.298
1990-06-01,77.504
1990-07-01,77.556
1990-08-01,77.474
1990-09-01,77.223
1990-10-01,76.907
1990-11-01,76.375
1990-12-01,75.966
1991-01-01,75.527
1991-02-01,75.249
1991-03-01,75.139
1991-04-01,75.313
1991-05-01,75.768
1991-06-01,76.253
1991-07-01,76.509
1991-08-01,76.586
1991-09-01,76.572
1991-10-01,76.286
1991-11-01,76.033
1991-12-01,75.832
1992-01-01,75.695
1992-02-01,75.65
1992-03-01,75.81
1992-04-01,76.077
1992-05-01,76.396
1992-06-01,76.601
1992-07-01,76.711
1992-08-01,76.732
1992-09-01,76.63
1992-10-01,76.6
1992-11-01,76.582
1992-12-01,76.468
1993-01-01,76.398
1993-02-01,76.331
1993-03-01,76.386
1993-04-01,76.663
1993-05-01,77.032
1993-06-01,77.517
1993-07-01,77.886
1993-08-01,78.132
1993-09-01,78.201
1993-10-01,78.177
1993-11-01,78.176
1993-12-01,78.12
1994-01-01,78.205
1994-02-01,78.211
1994-03-01,78.356
1994-04-01,78.711
1994-05-01,79.219
1994-06-01,79.712
1994-07-01,80.073
1994-08-01,80.326
1994-09-01,80.347
1994-10-01,80.31
1994-11-01,80.175
1994-12-01,80.085
1995-01-01,80.036
1995-02-01,80.006
1995-03-01,80.095
1995-04-01,80.388
1995-05-01,80.71
1995-06-01,81.086
1995-07-01,81.429
1995-08-01,81.672
1995-09-01,81.757
1995-10-01,81.747
1995-11-01,81.651
1995-12-01,81.534
1996-01-01,81.449
1996-02-01,81.422
1996-03-01,81.688
1996-04-01,82.146
1996-05-01,82.624
1996-06-01,83.073
1996-07-01,83.445
1996-08-01,83.673
1996-09-01,83.73
1996-10-01,83.656
1996-11-01,83.583
1996-12-01,83.516
1997-01-01,83.555
1997-02-01,83.619
1997-03-01,83.935
1997-04-01,84.349
1997-05-01,84.896
1997-06-01,85.43
1997-07-01,85.872
1997-08-01,86.181
1997-09-01,86.341
1997-10-01,86.438
1997-11-01,86.661
1997-12-01,86.878
1998-01-01,87.194
1998-02-01,87.405
1998-03-01,87.908
1998-04-01,88.588
1998-05-01,89.404
1998-06-01,90.224
1998-07-01,90.888
1998-08-01,91.435
1998-09-01,91.78
1998-10-01,92.027
1998-11-01,92.224
1998-12-01,92.471
1999-01-01,92.741
1999-02-01,93.008
1999-03-01,93.639
1999-04-01,94.466
1999-05-01,95.391
1999-06-01,96.394
1999-07-01,97.222
1999-08-01,97.927
1999-09-01,98.431
1999-10-01,98.867
1999-11-01,99.186
1999-12-01,99.58
2000-01-01,100.0
2000-02-01,100.57
2000-03-01,101.465
2000-04-01,102.541
2000-05-01,103.703
2000-06-01,104.856
2000-07-01,105.721
2000-08-01,106.521
2000-09-01,107.135
2000-10-01,107.728
2000-11-01,108.291
2000-12-01,108.792
2001-01-01,109.215
2001-02-01,109.643
2001-03-01,110.395
2001-04-01,111.247
2001-05-01,112.203
2001-06-01,113.274
2001-07-01,114.23
2001-08-01,114.991
2001-09-01,115.467
2001-10-01,115.682
2001-11-01,115.839
2001-12-01,116.056
2002-01-01,116.437
2002-02-01,116.918
2002-03-01,117.931
2002-04-01,119.211
2002-05-01,120.79
2002-06-01,122.334
2002-07-01,123.687
2002-08-01,124.729
2002-09-01,125.493
2002-10-01,126.135
2002-11-01,126.641
2002-12-01,127.149
2003-01-01,127.652
2003-02-01,128.327
2003-03-01,129.31
2003-04-01,130.491
2003-05-01,131.841
2003-06-01,133.225
2003-07-01,134.645
2003-08-01,135.963
2003-09-01,137.076
2003-10-01,137.978
2003-11-01,138.769
2003-12-01,139.632
2004-01-01,140.711
2004-02-01,142.035
2004-03-01,144.085
2004-04-01,146.182
2004-05-01,148.335
2004-06-01,150.518
2004-07-01,152.336
2004-08-01,153.813
2004-09-01,155.108
2004-10-01,156.299
2004-11-01,157.498
2004-12-01,158.674
2005-01-01,160.137
2005-02-01,161.933
2005-03-01,164.583
2005-04-01,167.0
2005-05-01,169.542
2005-06-01,172.013
2005-07-01,174.096
2005-08-01,175.923
2005-09-01,177.612
2005-10-01,178.755
2005-11-01,179.678
2005-12-01,180.112
2006-01-01,180.833
2006-02-01,181.505
2006-03-01,182.753
2006-04-01,183.65
2006-05-01,184.382
2006-06-01,184.551
2006-07-01,184.615
2006-08-01,184.413
2006-09-01,184.207
2006-10-01,184.062
2006-11-01,183.639
2006-12-01,183.236
2007-01-01,182.724
2007-02-01,182.476
2007-03-01,182.199
2007-04-01,182.138
2007-05-01,181.892
2007-06-01,181.549
2007-07-01,181.002
2007-08-01,180.244
2007-09-01,179.132
2007-10-01,177.542
2007-11-01,175.175
2007-12-01,173.35
2008-01-01,171.088
2008-02-01,169.201
2008-03-01,167.913
2008-04-01,167.332
2008-05-01,167.03
2008-06-01,166.55
2008-07-01,165.728
2008-08-01,164.294
2008-09-01,161.925
2008-10-01,159.171
2008-11-01,156.079
2008-12-01,152.554
2009-01-01,149.373
2009-02-01,147.629
2009-03-01,146.527
2009-04-01,146.958
2009-05-01,148.187
2009-06-01,149.812
2009-07-01,150.759
2009-08-01,150.675
2009-09-01,149.634
2009-10-01,148.594
2009-11-01,147.952
2009-12-01,146.681
2010-01-01,145.003
2010-02-01,143.056
2010-03-01,143.595
2010-04-01,145.393
2010-05-01,147.025
2010-06-01,147.688
2010-07-01,147.542
2010-08-01,146.401
2010-09-01,144.586
2010-10-01,143.119
2010-11-01,141.819
2010-12-01,140.634
2011-01-01,139.046
2011-02-01,137.743
2011-03-01,137.792
2011-04-01,139.156
2011-05-01,140.686
2011-06-01,141.936
2011-07-01,142.33
2011-08-01,141.772
2011-09-01,140.154
2011-10-01,138.396
2011-11-01,136.652
2011-12-01,135.156
2012-01-01,134.162
2012-02-01,133.997
2012-03-01,135.873
2012-04-01,138.487
2012-05-01,141.065
2012-06-01,143.183
2012-07-01,144.293
2012-08-01,144.714
2012-09-01,144.368
2012-10-01,143.979
2012-11-01,143.973
2012-12-01,143.881
2013-01-01,144.324
2013-02-01,145.173
2013-03-01,147.976
2013-04-01,150.991
2013-05-01,153.884
2013-06-01,156.452
2013-07-01,158.311
2013-08-01,159.418
2013-09-01,159.697
2013-10-01,159.582
2013-11-01,159.392
2013-12-01,159.315
2014-01-01,159.411
2014-02-01,159.918
2014-03-01,161.233
2014-04-01,163.007
2014-05-01,164.717
2014-06-01,166.244
2014-07-01,167.165
2014-08-01,167.482
2014-09-01,167.277
2014-10-01,166.949
2014-11-01,166.702
2014-12-01,166.51
2015-01-01,166.306
2015-02-01,166.693
2015-03-01,168.154
2015-04-01,170.036
2015-05-01,171.917
2015-06-01,173.514
2015-07-01,174.556
2015-08-01,175.002
2015-09-01,175.116
2015-10-01,175.129
2015-11-01,175.23
2015-12-01,175.209
2016-01-01,175.127
2016-02-01,175.369
2016-03-01,176.69
2016-04-01,178.586
2016-05-01,180.443
2016-06-01,182.03
2016-07-01,183.147
2016-08-01,183.8
2016-09-01,184.11
2016-10-01,184.196
2016-11-01,184.431
2016-12-01,184.619
2017-01-01,184.86
2017-02-01,185.231
2017-03-01,186.744
2017-04-01,188.763
2017-05-01,190.768
2017-06-01,192.5
2017-07-01,193.759
2017-08-01,194.612
2017-09-01,195.1
2017-10-01,195.386
2017-11-01,195.775
2017-12-01,196.189
2018-01-01,196.465
2018-02-01,197.289
2018-03-01,198.938
