date_,GPDI
1988-01-01,908.571
1988-04-01,934.526
1988-07-01,942.003
1988-10-01,962.751
1989-01-01,1005.36
1989-04-01,1000.99
1989-07-01,996.504
1989-10-01,995.948
1990-01-01,1010.84
1990-04-01,1014.75
1990-07-01,1000.66
1990-10-01,947.55
1991-01-01,924.608
1991-04-01,926.552
1991-07-01,947.472
1991-10-01,978.757
1992-01-01,956.774
1992-04-01,1013.06
1992-07-01,1024.2
1992-10-01,1058.01
1993-01-01,1083.9
1993-04-01,1094.47
1993-07-01,1095.94
1993-10-01,1152.99
1994-01-01,1202.06
1994-04-01,1265.09
1994-07-01,1251.59
1994-10-01,1307.19
1995-01-01,1327.27
1995-04-01,1303.82
1995-07-01,1303.22
1995-10-01,1335.62
1996-01-01,1355.23
1996-04-01,1418.56
1996-07-01,1474.45
1996-10-01,1479.99
1997-01-01,1521.95
1997-04-01,1589.85
1997-07-01,1625.34
1997-10-01,1645.3
1998-01-01,1712.31
1998-04-01,1694.79
1998-07-01,1739.79
1998-10-01,1794.42
1999-01-01,1850.63
1999-04-01,1845.77
1999-07-01,1890.92
1999-10-01,1949.44
2000-01-01,1945.92
2000-04-01,2071.76
2000-07-01,2055.77
2000-10-01,2061.57
2001-01-01,1967.54
2001-04-01,1966.99
2001-07-01,1937.34
2001-10-01,1842.68
2002-01-01,1910.03
2002-04-01,1925.6
2002-07-01,1927.86
2002-10-01,1936.5
2003-01-01,1960.19
2003-04-01,1970.55
2003-07-01,2048.27
2003-10-01,2132.79
2004-01-01,2155.15
2004-04-01,2259.52
2004-07-01,2311.28
2004-10-01,2380.75
2005-01-01,2475.17
2005-04-01,2469.55
2005-07-01,2527.24
2005-10-01,2636.48
2006-01-01,2699.65
2006-04-01,2696.95
2006-07-01,2684.41
2006-10-01,2641.58
2007-01-01,2634.21
2007-04-01,2671.91
2007-07-01,2658.24
2007-10-01,2610.61
2008-01-01,2527.01
2008-04-01,2493.26
2008-07-01,2435.87
2008-10-01,2243.11
2009-01-01,1972.15
2009-04-01,1825.89
2009-07-01,1786.4
2009-10-01,1928.03
2010-01-01,1989.54
2010-04-01,2092.72
2010-07-01,2164.57
2010-10-01,2156.46
2011-01-01,2123.46
2011-04-01,2212.68
2011-07-01,2228.22
2011-10-01,2395.17
2012-01-01,2460.78
2012-04-01,2534.77
2012-07-01,2529.93
2012-10-01,2521.34
2013-01-01,2617.59
2013-04-01,2658.13
2013-07-01,2750.83
2013-10-01,2798.63
2014-01-01,2780.7
2014-04-01,2895.01
2014-07-01,2992.02
2014-10-01,2997.87
2015-01-01,3094.58
2015-04-01,3096.33
2015-07-01,3115.67
2015-10-01,3067.74
2016-01-01,3031.64
2016-04-01,3023.12
2016-07-01,3047.97
2016-10-01,3126.18
2017-01-01,3128.74
2017-04-01,3178.15
2017-07-01,3249.17
2017-10-01,3295.25
2018-01-01,3378.08
