,Company,Price,Allocation,Dollar Value,Shares
AMZN,Amazon.com Inc,1510.390015,0.04250018445590551,9435,6
EA,Electronic Arts,122.780998,0.010220947600551167,2269,18
EL,Estee Lauder Cos. A,144.649994,0.03436886251901699,7629,52
EVHC,Envision Healthcare Corp,38.09,0.03525996223623689,7827,205
EW,Edwards Lifesciences Corp,136.360001,0.01254329846658626,2784,20
FE,FirstEnergy Corp,33.93,0.045701249883248064,10145,299
GWW,Grainger W.W. Inc,271.679993,0.029036188710271162,6446,23
IDXX,IDEXX Laboratories Inc,192.580002,0.04999999999766824,11099,57
MSI,Motorola Solutions Inc,105.690002,0.04329153061003362,9610,90
MU,Micron Technology Inc,54.709801,0.028553966042081415,6338,115
NFLX,NetFlix Inc,303.209991,0.04999999999989549,11099,36
NKTR,Nektar Therapeutics,103.540001,0.04999999999981893,11099,107
RE,Everest Re Group Ltd,250.990005,0.04999999998587779,11099,44
RHT,Red Hat Inc,149.630005,0.049999999999156906,11099,74
STX,Seagate Technology,57.119999,0.04999999999979971,11099,194
TPR,"Tapestry, Inc",52.0,0.049999999997410755,11099,213
AYI,Acuity Brands Inc,132.809998,-0.011303192452059196,-2509,-18
CELG,Celgene Corp,85.969498,-0.024808491435809207,-5507,-64
DVN,Devon Energy Corp,32.459999,-0.02083053365342433,-4624,-142
FMC,FMC Corp,76.190002,-0.02062558926288275,-4578,-60
GE,General Electric Co,13.1601,-0.04565461237020947,-10135,-770
GIS,General Mills Inc,44.439999,-0.049999999999374746,-11099,-249
GT,Goodyear Tire & Rubber Co,26.77,-0.03832555918479319,-8508,-317
LB,L Brands Inc,37.950001,-0.049999999999862606,-11099,-292
NFX,Newfield Exploration Co,24.65,-0.033260688129749805,-7383,-299
SYF,Synchrony Financial,32.880001,-0.04636377734485497,-10292,-313
